date,value
04-Jan-2019,3119
11-Jan-2019,3040
18-Jan-2019,3187
25-Jan-2019,3137
01-Feb-2019,3054
15-Feb-2019,2968
22-Feb-2019,2837
01-Mar-2019,2640
08-Mar-2019,2479
15-Mar-2019,2357
22-Mar-2019,2338
29-Mar-2019,2634
05-Apr-2019,2644
12-Apr-2019,2638
19-Apr-2019,2634
26-Apr-2019,2705
10-May-2019,2711
17-May-2019,2597
24-May-2019,2540
31-May-2019,2541
07-Jun-2019,2502
14-Jun-2019,2464
21-Jun-2019,2404
28-Jun-2019,2789
05-Jul-2019,2764
12-Jul-2019,2864
19-Jul-2019,2891
26-Jul-2019,2800
02-Aug-2019,2801
09-Aug-2019,2660
16-Aug-2019,2543
23-Aug-2019,2436
30-Aug-2019,2691
06-Sep-2019,2631
13-Sep-2019,2516
20-Sep-2019,2351
27-Sep-2019,2346
11-Oct-2019,2335
18-Oct-2019,2374
25-Oct-2019,2411
01-Nov-2019,2604
08-Nov-2019,2572
15-Nov-2019,2398
22-Nov-2019,2256
29-Nov-2019,2684
06-Dec-2019,2638
13-Dec-2019,2512
20-Dec-2019,2451
27-Dec-2019,2562
03-Jan-2020,2808
10-Jan-2020,2888
17-Jan-2020,2943
24-Jan-2020,2951
14-Feb-2020,2768
21-Feb-2020,2683
28-Feb-2020,2690
06-Mar-2020,2679
13-Mar-2020,2912
20-Mar-2020,2785
27-Mar-2020,2758
03-Apr-2020,2782
10-Apr-2020,2720
17-Apr-2020,2637
24-Apr-2020,2620
01-May-2020,2773
08-May-2020,2717
15-May-2020,2542
22-May-2020,2543
29-May-2020,2732
05-Jun-2020,2738
12-Jun-2020,3255
19-Jun-2020,3288
26-Jun-2020,3303
03-Jul-2020,3459
10-Jul-2020,3297
17-Jul-2020,3334
24-Jul-2020,3269
31-Jul-2020,3495
07-Aug-2020,3504
14-Aug-2020,3913
21-Aug-2020,3953
28-Aug-2020,4207
04-Sep-2020,4538
11-Sep-2020,4534
18-Sep-2020,4634
25-Sep-2020,4625
02-Oct-2020,4622
09-Oct-2020,4622
16-Oct-2020,4619
23-Oct-2020,4625
30-Oct-2020,4641
06-Nov-2020,4665
13-Nov-2020,4676
20-Nov-2020,4682
27-Nov-2020,4708
04-Dec-2020,4700
11-Dec-2020,4804
18-Dec-2020,4874
25-Dec-2020,4876
01-Jan-2021,4729
08-Jan-2021,4750
15-Jan-2021,4800
22-Jan-2021,4750
29-Jan-2021,4679
05-Feb-2021,4800
12-Feb-2021,4800
19-Feb-2021,4800
26-Feb-2021,4814
05-Mar-2021,4808
12-Mar-2021,4786
19-Mar-2021,4795
26-Mar-2021,4839
02-Apr-2021,4788
09-Apr-2021,5334
16-Apr-2021,5452
23-Apr-2021,5687
30-Apr-2021,6419
07-May-2021,7036
14-May-2021,7378
21-May-2021,7521
28-May-2021,7633
04-Jun-2021,8475
11-Jun-2021,8554
18-Jun-2021,8914
25-Jun-2021,8944
02-Jul-2021,9254
09-Jul-2021,9356
16-Jul-2021,9655
23-Jul-2021,9850
30-Jul-2021,10067
06-Aug-2021,10167
13-Aug-2021,10452
20-Aug-2021,10876
27-Aug-2021,11138
03-Sep-2021,11648
10-Sep-2021,11732
17-Sep-2021,11759
24-Sep-2021,11976
01-Oct-2021,11250
08-Oct-2021,11114
15-Oct-2021,10700
22-Oct-2021,10544
29-Oct-2021,10454
05-Nov-2021,10428
12-Nov-2021,10589
19-Nov-2021,10415
26-Nov-2021,10427
03-Dec-2021,10623
10-Dec-2021,10644
17-Dec-2021,10983
24-Dec-2021,11351
31-Dec-2021,11579
07-Jan-2022,11833
14-Jan-2022,11729
21-Jan-2022,11337
28-Jan-2022,10985
04-Feb-2022,10927.5
11-Feb-2022,11022
18-Feb-2022,10870
25-Feb-2022,10864
04-Mar-2022,10678
11-Mar-2022,10634
18-Mar-2022,10634
25-Mar-2022,10504
01-Apr-2022,10395
08-Apr-2022,10581
15-Apr-2022,10649
22-Apr-2022,10645
06-May-2022,10588